,home,score,away,year
0,Portugal,1-1,Grèce,2004
1,Espagne,1-0,Russie,2004
2,Portugal,2-0,Russie,2004
3,Grèce,1-1,Espagne,2004
4,Portugal,1-0,Espagne,2004
5,Russie,2-1,Grèce,2004
6,Suisse,0-0,Croatie,2004
7,Angleterre,1-2,France,2004
8,Angleterre,3-0,Suisse,2004
9,Croatie,2-2,France,2004
10,Croatie,2-4,Angleterre,2004
11,Suisse,1-3,France,2004
12,Danemark,0-0,Italie,2004
13,Suède,5-0,Bulgarie,2004
14,Bulgarie,0-2,Danemark,2004
15,Italie,1-1,Suède,2004
16,Italie,2-1,Bulgarie,2004
17,Danemark,2-2,Suède,2004
18,Allemagne,1-1,Pays-Bas,2004
19,Tchéquie,2-1,Lettonie,2004
20,Allemagne,0-0,Lettonie,2004
21,Pays-Bas,2-3,Tchéquie,2004
22,Pays-Bas,3-0,Lettonie,2004
23,Allemagne,1-2,Tchéquie,2004
24,Portugal,2-2 ap,Angleterre,2004
25,Suède,0-0 ap,Pays-Bas,2004
26,France,0-1,Grèce,2004
27,Tchéquie,3-0,Danemark,2004
28,Portugal,2-1,Pays-Bas,2004
29,Grèce,1-0 ap b.e.a.,Tchéquie,2004
0,Suisse,0 - 1,Tchéquie,2008
1,Portugal,2 - 0,Turquie,2008
2,Tchéquie,1 - 3,Portugal,2008
3,Suisse,1 - 2,Turquie,2008
4,Suisse,2 - 0,Portugal,2008
5,Turquie,3 - 2,Tchéquie,2008
6,Autriche,0 - 1,Croatie,2008
7,Allemagne,2 - 0,Pologne,2008
8,Croatie,2 - 1,Allemagne,2008
9,Autriche,1 - 1,Pologne,2008
10,Pologne,0 - 1,Croatie,2008
11,Autriche,0 - 1,Allemagne,2008
12,Roumanie,0 - 0,France,2008
13,Pays-Bas,3 - 0,Italie,2008
14,Italie,1 - 1,Roumanie,2008
15,Pays-Bas,4 - 1,France,2008
16,Pays-Bas,2 - 0,Roumanie,2008
17,France,0 - 2,Italie,2008
18,Espagne,4 - 1,Russie,2008
19,Grèce,0 - 2,Suède,2008
20,Suède,1 - 2,Espagne,2008
21,Grèce,0 - 1,Russie,2008
22,Grèce,1 - 2,Espagne,2008
23,Russie,2 - 0,Suède,2008
0,Pays-Bas,0 - 1,Danemark,2012
1,Allemagne,1 - 0,Portugal,2012
2,Danemark,2 - 3,Portugal,2012
3,Pays-Bas,1 - 2,Allemagne,2012
4,Portugal,2 - 1,Pays-Bas,2012
5,Danemark,1 - 2,Allemagne,2012
6,Espagne,1 - 1,Italie,2012
7,Irlande,1 - 3,Croatie,2012
8,Italie,1 - 1,Croatie,2012
9,Espagne,4 - 0,Irlande,2012
10,Croatie,0 - 1,Espagne,2012
11,Italie,2 - 0,Irlande,2012
12,France,1 - 1,Angleterre,2012
13,Ukraine,2 - 1,Suède,2012
14,Ukraine,0 - 2,France,2012
15,Suède,2 - 3,Angleterre,2012
16,Angleterre,1 - 0,Ukraine,2012
17,Suède,2 - 0,France,2012
